name,Type,Bars,Tidal,g-i
manga-8132-12701,-5,0,0,1.2540999999999976
manga-9486-6104,-5,0,0,1.1229000000000013
manga-8949-3704,-5,0,0,0.9592999999999989
manga-10219-3704,-5,0,0,1.1790999999999983
manga-8595-12704,-5,0,1,1.1005000000000003
manga-8483-3703,-5,0,0,1.214100000000002
manga-8999-3702,-5,0,0,1.1859000000000002
manga-9044-3703,-5,0,0,1.2131000000000007
manga-9044-3704,-5,0,1,1.2753999999999976
manga-8595-1901,-5,0,0,0.968
manga-8447-3702,-5,0,0,0.9438999999999993
manga-8260-3701,-5,0,0,1.1084999999999994
manga-8999-3703,-5,0,0,1.1153000000000013
manga-8483-6102,-5,0,1,1.1508000000000003
manga-8328-3702,-5,0,1,1.1388999999999996
manga-8727-6103,-5,0,1,1.2509000000000015
manga-8132-1901,-5,0,0,1.2814999999999976
manga-8260-3702,-5,0,0,1.2150999999999996
manga-8595-3701,-5,0,0,1.1434999999999995
manga-7972-6101,-5,0,0,1.1523000000000003
manga-8155-3703,-5,0,0,0.8067999999999991
manga-8328-3703,-5,0,0,1.1873000000000005
manga-9864-6104,-5,0,0,1.1937999999999995
manga-8483-6104,-5,0,0,1.1892999999999994
manga-9487-12705,-5,0,0,1.1285000000000025
manga-9044-6103,-5,0,0,1.1235
manga-8132-3701,-5,0,0,1.1348999999999982
manga-8595-3703,-5,-0.5,1,1.057500000000001
manga-8447-6102,-5,0,0,1.2123000000000026
manga-8328-6101,-5,0,0,1.1357
manga-8328-6102,-5,0,1,1.3435999999999986
manga-10516-6101,-5,0,1,1.0640999999999998
manga-9487-1901,-5,0,0,1.2056000000000004
manga-8447-6103,-5,0,0,1.1987000000000023
manga-8595-6101,-5,0,0,1.3812999999999995
manga-8447-6104,-5,0,0,1.3009000000000022
manga-8484-12701,-5,0,0,1.2003000000000021
manga-8328-6103,-5,0,0,1.1560999999999986
manga-8328-6104,-5,0,0,1.0777999999999999
manga-9865-12703,-5,0,0,1.1844000000000001
manga-8155-9101,-5,0,0,1.1557999999999993
manga-9000-12701,-5,0,0,1.1714999999999982
manga-7975-12702,-5,0,0,1.1027999999999984
manga-8132-6103,-5,0,0,1.1404000000000032
manga-8261-12701,-5,0,0,1.2510999999999974
manga-8156-12701,-5,0,1,0.9208999999999996
manga-9000-12703,-5,0,0,1.1954999999999991
manga-9000-12704,-5,0,0,1.1202999999999967
manga-8728-1901,-5,0,0,0.9103999999999992
manga-8728-1902,-5,0,0,1.1582000000000008
manga-9045-12705,-5,0,0,1.1401000000000003
manga-8261-12702,-5,0,0,1.0821000000000005
manga-8132-9102,-5,0,1,1.1856000000000009
manga-8133-12703,-5,0,1,1.1509999999999998
manga-10517-12704,-5,0,0,0.6918000000000006
manga-8651-9102,-5,0,0,1.1633999999999993
manga-9000-1902,-5,0,0,0.8609000000000009
manga-8329-12705,-5,0,0,1.1845999999999997
manga-10220-3704,-5,0,0,1.1438999999999986
manga-10517-12705,-5,0,0,1.2928999999999995
manga-8728-3703,-5,0,1,1.1435999999999993
manga-8728-3704,-5,0,0,1.1507000000000005
manga-10220-6101,-5,0,0,1.1884999999999977
manga-7975-3702,-5,0,0,1.0938000000000017
manga-9000-3702,-5,0,0,1.1616999999999997
